Ref,Val,Package,PosX,PosY,Rot,Side
"R101","10000","R_0805_2012Metric",71.457178,-94.360409,0.000000,top
"R102","10000","R_0805_2012Metric",79.282178,-90.860409,0.000000,top
"R103","10000","R_0805_2012Metric",75.369678,-90.860409,0.000000,top
"R104","4700","R_0805_2012Metric",79.369678,-94.360409,0.000000,top
"R105","10000","R_0805_2012Metric",71.282178,-90.860409,0.000000,top
"R106","4700","R_0805_2012Metric",75.369678,-94.360409,0.000000,top
"R107","4700","R_0805_2012Metric",67.444001,-94.366601,0.000000,top
"R108","10000","R_0805_2012Metric",63.497274,-94.389804,0.000000,top
"R201","4700","R_0805_2012Metric",27.110375,-42.289023,0.000000,top
"R202","10000","R_0805_2012Metric",27.110777,-48.301610,0.000000,top
"R203","10000","R_0805_2012Metric",41.589814,-43.520988,0.000000,top
"R204","10000","R_0805_2012Metric",27.110777,-50.301610,0.000000,top
"R205","10000","R_0805_2012Metric",27.138221,-30.282294,0.000000,top
"R206","4700","R_0805_2012Metric",27.110375,-40.289023,0.000000,top
"R207","4700","R_0805_2012Metric",27.110375,-44.289023,0.000000,top
"R208","10000","R_0805_2012Metric",27.110375,-32.289023,0.000000,top
"R209","10000","R_0805_2012Metric",41.610375,-31.473136,0.000000,top
"R210","4700","R_0805_2012Metric",27.110375,-34.289023,0.000000,top
"R211","10000","R_0805_2012Metric",27.121091,-46.285975,0.000000,top
"R212","10000","R_0805_2012Metric",41.610375,-41.473136,0.000000,top
"R213","4700","R_0805_2012Metric",27.110375,-38.289023,0.000000,top
"R214","4700","R_0805_2012Metric",27.110375,-36.289023,0.000000,top
"R215","4700","R_0805_2012Metric",41.610375,-39.480247,0.000000,top
"R216","4700","R_0805_2012Metric",41.610375,-35.480247,0.000000,top
"R217","4700","R_0805_2012Metric",41.610375,-37.480247,0.000000,top
"R218","4700","R_0805_2012Metric",41.610375,-33.480247,0.000000,top
"R219","10000","R_0805_2012Metric",27.142216,-26.269489,0.000000,top
"R220","10000","R_0805_2012Metric",27.138221,-28.282294,0.000000,top
"R301","4700","R_0805_2012Metric",49.981392,-42.288023,0.000000,top
"R302","10000","R_0805_2012Metric",49.981794,-48.300610,0.000000,top
"R303","10000","R_0805_2012Metric",64.460831,-43.519988,0.000000,top
"R304","10000","R_0805_2012Metric",49.981794,-50.300610,0.000000,top
"R305","10000","R_0805_2012Metric",50.009238,-30.281294,0.000000,top
"R306","4700","R_0805_2012Metric",49.981392,-40.288023,0.000000,top
"R307","4700","R_0805_2012Metric",49.981392,-44.288023,0.000000,top
"R308","10000","R_0805_2012Metric",49.981392,-32.288023,0.000000,top
"R309","10000","R_0805_2012Metric",64.481392,-31.472136,0.000000,top
"R310","4700","R_0805_2012Metric",49.981392,-34.288023,0.000000,top
"R311","10000","R_0805_2012Metric",49.992108,-46.284975,0.000000,top
"R312","10000","R_0805_2012Metric",64.481392,-41.472136,0.000000,top
"R313","4700","R_0805_2012Metric",49.981392,-38.288023,0.000000,top
"R314","4700","R_0805_2012Metric",49.981392,-36.288023,0.000000,top
"R315","4700","R_0805_2012Metric",64.481392,-39.479247,0.000000,top
"R316","4700","R_0805_2012Metric",64.481392,-35.479247,0.000000,top
"R317","4700","R_0805_2012Metric",64.481392,-37.479247,0.000000,top
"R318","4700","R_0805_2012Metric",64.481392,-33.479247,0.000000,top
"R319","10000","R_0805_2012Metric",50.013233,-26.268489,0.000000,top
"R320","10000","R_0805_2012Metric",50.009238,-28.281294,0.000000,top
"R401","4700","R_0805_2012Metric",72.449551,-42.289023,0.000000,top
"R402","10000","R_0805_2012Metric",72.449953,-48.301610,0.000000,top
"R403","10000","R_0805_2012Metric",86.928990,-43.520988,0.000000,top
"R404","10000","R_0805_2012Metric",72.449953,-50.301610,0.000000,top
"R405","10000","R_0805_2012Metric",72.477397,-30.282294,0.000000,top
"R406","4700","R_0805_2012Metric",72.449551,-40.289023,0.000000,top
"R407","4700","R_0805_2012Metric",72.449551,-44.289023,0.000000,top
"R408","10000","R_0805_2012Metric",72.449551,-32.289023,0.000000,top
"R409","10000","R_0805_2012Metric",86.949551,-31.473136,0.000000,top
"R410","4700","R_0805_2012Metric",72.449551,-34.289023,0.000000,top
"R411","10000","R_0805_2012Metric",72.460267,-46.285975,0.000000,top
"R412","10000","R_0805_2012Metric",86.949551,-41.473136,0.000000,top
"R413","4700","R_0805_2012Metric",72.449551,-38.289023,0.000000,top
"R414","4700","R_0805_2012Metric",72.449551,-36.289023,0.000000,top
"R415","4700","R_0805_2012Metric",86.949551,-39.480247,0.000000,top
"R416","4700","R_0805_2012Metric",86.949551,-35.480247,0.000000,top
"R417","4700","R_0805_2012Metric",86.949551,-37.480247,0.000000,top
"R418","4700","R_0805_2012Metric",86.949551,-33.480247,0.000000,top
"R419","10000","R_0805_2012Metric",72.481392,-26.269489,0.000000,top
"R420","10000","R_0805_2012Metric",72.477397,-28.282294,0.000000,top
"R501","4700","R_0805_2012Metric",94.247272,-42.196706,0.000000,top
"R502","10000","R_0805_2012Metric",94.247674,-48.209293,0.000000,top
"R503","10000","R_0805_2012Metric",108.726711,-43.428671,0.000000,top
"R504","10000","R_0805_2012Metric",94.247674,-50.209293,0.000000,top
"R505","10000","R_0805_2012Metric",94.275118,-30.189977,0.000000,top
"R506","4700","R_0805_2012Metric",94.247272,-40.196706,0.000000,top
"R507","4700","R_0805_2012Metric",94.247272,-44.196706,0.000000,top
"R508","10000","R_0805_2012Metric",94.247272,-32.196706,0.000000,top
"R509","10000","R_0805_2012Metric",108.747272,-31.380819,0.000000,top
