Designator,Mid X,Mid Y,Rotation,Layer
R101,71.457178,-94.360409,0.0,top
R102,79.282178,-90.860409,0.0,top
R103,75.369678,-90.860409,0.0,top
R104,79.369678,-94.360409,0.0,top
R105,71.282178,-90.860409,0.0,top
R106,75.369678,-94.360409,0.0,top
R107,67.444001,-94.366601,0.0,top
R108,63.497274,-94.389804,0.0,top
R201,27.110375,-42.289023,0.0,top
R202,27.110777,-48.30161,0.0,top
R203,41.589814,-43.520988,0.0,top
R204,27.110777,-50.30161,0.0,top
R205,27.138221,-30.282294,0.0,top
R206,27.110375,-40.289023,0.0,top
R207,27.110375,-44.289023,0.0,top
R208,27.110375,-32.289023,0.0,top
R209,41.610375,-31.473136,0.0,top
R210,27.110375,-34.289023,0.0,top
R211,27.121091,-46.285975,0.0,top
R212,41.610375,-41.473136,0.0,top
R213,27.110375,-38.289023,0.0,top
R214,27.110375,-36.289023,0.0,top
R215,41.610375,-39.480247,0.0,top
R216,41.610375,-35.480247,0.0,top
R217,41.610375,-37.480247,0.0,top
R218,41.610375,-33.480247,0.0,top
R219,27.142216,-26.269489,0.0,top
R220,27.138221,-28.282294,0.0,top
R301,49.981392,-42.288023,0.0,top
R302,49.981794,-48.30061,0.0,top
R303,64.460831,-43.519988,0.0,top
R304,49.981794,-50.30061,0.0,top
R305,50.009238,-30.281294,0.0,top
R306,49.981392,-40.288023,0.0,top
R307,49.981392,-44.288023,0.0,top
R308,49.981392,-32.288023,0.0,top
R309,64.481392,-31.472136,0.0,top
R310,49.981392,-34.288023,0.0,top
R311,49.992108,-46.284975,0.0,top
R312,64.481392,-41.472136,0.0,top
R313,49.981392,-38.288023,0.0,top
R314,49.981392,-36.288023,0.0,top
R315,64.481392,-39.479247,0.0,top
R316,64.481392,-35.479247,0.0,top
R317,64.481392,-37.479247,0.0,top
R318,64.481392,-33.479247,0.0,top
R319,50.013233,-26.268489,0.0,top
R320,50.009238,-28.281294,0.0,top
R401,72.449551,-42.289023,0.0,top
R402,72.449953,-48.30161,0.0,top
R403,86.92899,-43.520988,0.0,top
R404,72.449953,-50.30161,0.0,top
R405,72.477397,-30.282294,0.0,top
R406,72.449551,-40.289023,0.0,top
R407,72.449551,-44.289023,0.0,top
R408,72.449551,-32.289023,0.0,top
R409,86.949551,-31.473136,0.0,top
R410,72.449551,-34.289023,0.0,top
R411,72.460267,-46.285975,0.0,top
R412,86.949551,-41.473136,0.0,top
R413,72.449551,-38.289023,0.0,top
R414,72.449551,-36.289023,0.0,top
R415,86.949551,-39.480247,0.0,top
R416,86.949551,-35.480247,0.0,top
R417,86.949551,-37.480247,0.0,top
R418,86.949551,-33.480247,0.0,top
R419,72.481392,-26.269489,0.0,top
R420,72.477397,-28.282294,0.0,top
R501,94.247272,-42.196706,0.0,top
R502,94.247674,-48.209293,0.0,top
R503,108.726711,-43.428671,0.0,top
R504,94.247674,-50.209293,0.0,top
R505,94.275118,-30.189977,0.0,top
R506,94.247272,-40.196706,0.0,top
R507,94.247272,-44.196706,0.0,top
R508,94.247272,-32.196706,0.0,top
R509,108.747272,-31.380819,0.0,top
R510,94.247272,-34.196706,0.0,top
R511,94.257988,-46.193658,0.0,top
R512,108.747272,-41.380819,0.0,top
R513,94.247272,-38.196706,0.0,top
R514,94.247272,-36.196706,0.0,top
R515,108.747272,-39.38793,0.0,top
R516,108.747272,-35.38793,0.0,top
R517,108.747272,-37.38793,0.0,top
R518,108.747272,-33.38793,0.0,top
R519,94.279113,-26.177172,0.0,top
R520,94.275118,-28.189977,0.0,top
R601,27.211392,-72.584376,0.0,top
R602,27.211794,-78.596963,0.0,top
R603,41.690831,-73.816341,0.0,top
R604,27.211794,-80.596963,0.0,top
R605,27.239238,-60.577647,0.0,top
